oddscheck_team_name,db_club_id,db_club_name,match_count,avg_confidence,avg_fuzzy_score
St. Polten,2662,SKN St. Pölten,3,85.75,75
Helsingor,22110,FC Helsingør,3,85.75,76
Stockport,1098,Stockport County,3,85.75,72
Ternana,1103,Ternana Calcio,3,85.75,67
Veria,2079,PAE Veria,3,85.75,71
Jiangsu Suning,22219,Jiangsu Sainty,3,85.83,79
Chiapas,4774,Jaguares de Chiapas,3,85.83,54
Aarau,116,FC Aarau,3,85.83,77
Cadiz,2687,Cádiz CF,3,85.83,62
Academica,2990,Académica Coimbra,3,85.83,62
Atromitos,3060,Atromitos Athens,3,85.83,72
Puszcza,28893,Puszcza Niepolomice,3,85.92,54
Newcastle,762,Newcastle United,3,85.92,72
Torino,416,Torino FC,3,85.92,80
Anderlecht,58,RSC Anderlecht,3,85.92,83
San Martin S.J.,10511,CA San Martín (San Juan),3,86,62
Portuguesa,10247,Portuguesa,3,86,100
Odense,173,Odense Boldklub,3,86,57
Kofu,10999,Ventforet Kofu,3,86,44
Ranheim,13519,Ranheim IL,3,86,82
Ingolstadt,4795,FC Ingolstadt 04,3,86,77
Heracles,1304,Heracles Almelo,3,86,70
Oostende,2861,KV Oostende (-2024),3,86,59
A. Klagenfurt,28760,SK Austria Klagenfurt,3,86.08,71
Shanghai Port,27190,Shanghai East Asia,3,86.08,65
Aalesund,5619,Aalesunds FK,3,86.08,80
Wisla,422,Wisla Kraków,3,86.08,59
Legnica,8936,Miedz Legnica,3,86.08,70
Orebro,1056,Örebro SK,3,86.08,67
Thun,938,FC Thun,3,86.08,73
Karlsruhe,48,Karlsruher SC,3,86.08,82
Roma,12,AS Roma,3,86.08,73
Panthrakikos,7185,Panthrakikos Komotini,3,86.08,73
Lillestrom,353,Lillestrøm SK,3,86.17,78
Akhmat Grozny,3725,Terek Grozny,3,86.17,64
Boulogne,7042,US Boulogne,3,86.17,84
Pacos Ferreira,2995,FC Paços de Ferreira,3,86.17,76
Mjallby,2719,Mjällby AIF,3,86.25,67
Varnamo,3622,IFK Värnamo,3,86.25,67
Bochum,80,VfL Bochum,3,86.25,75
Osnabruck,81,VfL Osnabrück,3,86.25,73
Wacker Innsbruck,2444,FC Wacker Innsbruck,3,86.33,91
Luzern,434,FC Luzern,3,86.33,80
Duisburg,52,MSV Duisburg,3,86.33,80
Parma,130,Parma FC,3,86.33,77
Salernitana,380,US Salernitana 1919,3,86.33,73
Marseille,244,Olympique Marseille,3,86.33,64
Amiens,1416,Amiens SC,3,86.33,80
Den Haag,1268,ADO Den Haag,3,86.33,80
West Brom,984,West Bromwich Albion,3,86.42,62
Modena,1385,Modena FC,3,86.42,80
Albacete,1532,Albacete Balompié,3,86.42,64
Porto,720,FC Porto,3,86.42,77
Brondby,206,Bröndby IF,3,86.5,71
Cagliari,1390,Cagliari Calcio,3,86.5,70
Sudtirol,4554,FC Südtirol,3,86.5,74
R. Volgograd,3609,Rotor Volgograd,3,86.58,81
Baltika,2741,Baltika Kaliningrad,3,86.58,54
West Ham,379,West Ham United,3,86.58,70
Willem II,403,Willem II Tilburg,3,86.58,69
Mansfield,3820,Mansfield Town,3,86.67,78
Dundee United,1519,Dundee United FC,3,86.67,90
Cordoba,993,Córdoba CF,3,86.67,71
Benfica,294,SL Benfica,3,86.67,82
